id,name1,name2,address,lat,lng,status,error
79,北区役所,,紫野西御所田町56,35.0409552,135.7534923,OK,
530,西京区役所保健福祉センター別館,西京区役所保健福祉センター別館,桂艮町1番地の2,34.9860378,135.6995606,OK,
531,西京区役所保健福祉センター別館,西京区役所保健福祉センター別館 自転車置場その他,桂艮町1番地の2,34.9860378,135.6995606,OK,
532,西京区役所保健福祉センター別館,西京区役所保健福祉センター別館  ガレージその他,桂艮町1番地の2,34.9860378,135.6995606,OK,
533,西京区役所保健福祉センター別館,西京区役所保健福祉センター 庁舎増築,桂艮町1番地の2,34.9860378,135.6995606,OK,
550,南区役所　別館,,西九条南田町1番地の2,34.9767895,135.7472275,OK,
838,京都市役所,京都市役所　本庁舎,寺町通御池上る上本能寺前町488番地,35.0120084,135.7681991,OK,
841,北区役所,,紫野東御所田町33番地の1,35.0410052,135.7541854,OK,
842,北区役所,北区総合庁舎 車庫,紫野東御所田町33番地の1,35.0410052,135.7541854,OK,
843,北区役所,北区総合庁舎 自転車置場,紫野東御所田町33番地の1,35.0410052,135.7541854,OK,
844,上京区役所,上京区役所,今出川通室町西入堀出シ町285番地,35.0291169,135.7565965,OK,
845,上京区役所,上京区役所 ゴミ置場,今出川通室町西入堀出シ町285番地,35.0291169,135.7565965,OK,
846,,左京区役所,松ケ崎堂ノ上町7-2,35.0487576,135.7784326,OK,
847,左京区役所,,松ケ崎堂ノ上町7-2,35.0487576,135.7784326,OK,
851,中京区役所,,西堀川通御池下る西三坊堀川町521番地,35.0102064,135.7514397,OK,
854,東山区役所,,清水五丁目130-6,34.9971485,135.776315,OK,
858,東山区役所,,清水五丁目130番地の8,34.9967113,135.7764039,OK,
863,山科区役所,山科区役所,椥辻池尻町14番地の2,34.9722545,135.8137202,OK,
864,山科区役所,山科区役所 公用車駐車場棟,椥辻池尻町14番地の2,34.9722545,135.8137202,OK,
865,山科区役所,山科区役所 自転車置場（南側）,椥辻池尻町14番地の2,34.9722545,135.8137202,OK,
866,山科区役所,山科区役所 倉庫,椥辻池尻町14番地の2,34.9722545,135.8137202,OK,
867,山科区役所,山科区役所 自転車置場（西側）,椥辻池尻町14番地の2,34.9722545,135.8137202,OK,
868,山科区役所,山科区役所 下水処理場,椥辻池尻町14番地の2,34.9722545,135.8137202,OK,
869,山科区役所,山科区役所 元診療所,椥辻池尻町14番地の2,34.9722545,135.8137202,OK,
870,下京区役所,下京区役所,西洞院通塩小路上る東塩小路町608番地の8,34.9875957,135.7554303,OK,
871,南区役所,南区役所,西九条南田町1番地の3,34.97666,135.7464248,OK,
876,西京区役所,西京区役所,上桂森下町25番地の1,34.9849525,135.6932829,OK,
877,西京区役所,西京区役所 駐車場,上桂森下町25番地の1,34.9849525,135.6932829,OK,
879,伏見区役所,,鷹匠町39番地の2,34.9360208,135.7614343,OK,
882,,西京区役所洛西支所 庁舎,大原野東境谷町二丁目1番地の2,34.9641907,135.6749444,OK,
885,西京区役所洛西支所,,大原野東境谷町二丁目1番地の2,34.9641907,135.6749444,OK,
886,伏見区役所深草支所,伏見区役所深草支所 庁舎,深草向畑町93番地の1,34.9536967,135.7727595,OK,
887,伏見区役所深草支所,伏見区役所深草支所 屋外駐車場,深草向畑町93番地の1,34.9536967,135.7727595,OK,
888,,伏見区役所醍醐支所 庁舎,醍醐大構町28番地,34.9483444,135.8095864,OK,
890,伏見区役所醍醐支所,,醍醐大構町28番地,34.9483444,135.8095864,OK,
891,北区役所小野郷出張所,北区役所小野郷出張所 本館,小野下ノ町100番地,35.1135888,135.6740713,OK,
892,北区役所小野郷出張所,北区役所小野郷出張所 倉庫,小野下ノ町100番地,35.1135888,135.6740713,OK,
893,北区役所中川出張所,北区役所中川出張所 庁舎,中川北山町46番地,35.0893062,135.6878864,OK,
894,北区役所中川出張所,北区役所中川出張所 重油貯蔵庫,中川北山町46番地,35.0893062,135.6878864,OK,
895,北区役所雲ヶ畑出張所,北区役所雲ヶ畑出張所 庁舎,雲ケ畑中畑町176番地,35.1130679,135.7219716,OK,
896,北区役所雲ヶ畑出張所,北区役所雲ヶ畑出張所 ポンプ室,雲ケ畑中畑町176番地,35.1130679,135.7219716,OK,
897,北区役所雲ヶ畑出張所,北区役所雲ヶ畑出張所 重油貯蔵庫,雲ケ畑中畑町176番地,35.1130679,135.7219716,OK,
898,左京区役所元岩倉出張所,左京区役所元岩倉出張所 庁舎,岩倉中町403番地,35.0754282,135.7881836,OK,
899,左京区役所八瀬出張所,左京区役所八瀬出張所 庁舎,八瀬秋元町578番地,35.0815471,135.8183492,OK,
900,左京区役所大原出張所,左京区役所大原出張所 庁舎,大原来迎院町10番地の2,35.1210998,135.8292155,OK,
901,左京区役所静市出張所,左京区役所静市出張所 庁舎,静市市原町36番地の3,35.0891195,135.7629648,OK,
902,左京区役所花脊出張所,左京区役所花脊出張所 庁舎,花脊大布施町196番地,35.2093004,135.7758927,OK,
903,左京区役所久多出張所,左京区役所久多出張所 庁舎,久多宮の町3番地,35.2652011,135.8191451,OK,
904,左京区役所久多出張所,左京区役所久多出張所 ガソリン庫,久多宮の町3番地,35.2652011,135.8191451,OK,
905,南区役所久世出張所,南区役所久世出張所 事務所,久世大薮町62,34.9604565,135.7183085,OK,
906,右京区役所高雄出張所,右京区役所高雄出張所 庁舎,梅ケ畑奥殿町26番地1,35.0458154,135.6817115,OK,
907,右京区役所宕陰出張所,右京区役所宕陰出張所 庁舎,嵯峨樒原宮ノ上町2－5,35.0749835,135.6109458,OK,
909,右京区役所京北出張所,,京北周山町上寺田1-1,35.1553091,135.6334164,OK,
912,右京区役所京北出張所,右京区役所京北出張所 倉庫,京北周山町上寺田1-1,35.1553091,135.6334164,OK,
913,右京区役所京北出張所,右京区役所京北出張所 車庫,京北周山町上寺田1-1,35.1553091,135.6334164,OK,
914,,伏見区役所淀出張所 庁舎,淀池上町131番地の1,34.9042528,135.7199955,OK,
917,伏見区役所淀出張所,,淀池上町131番地の1,34.9042528,135.7199955,OK,
1347,元右京区役所第三出張所,元右京区役所第三出張所 庁舎,御室堅町19番,35.0270263,135.7164625,OK,
1348,元右京区役所第三出張所,元右京区役所第三出張所 便所,御室堅町19番,35.0270263,135.7164625,OK,
1350,元右京区役所第八出張所,元右京区役所第八出張所 庁舎,西院春日町3番4,35.0051443,135.7298953,OK,
1367,旧伏見区役所神川出張所,旧伏見区役所神川出張所 庁舎,久我御旅町3番地の3,34.9421222,135.7327809,OK,
1368,,旧伏見区役所福祉事務所,御駕籠町91番地,34.9377967,135.760894,OK,
