id,name1,name2,address,lat,lng,status,error
1,京都会館,京都会館,岡崎最勝寺町13番地,35.0143505,135.7808027,OK,
2,北文化会館,北文化会館,小山北上総町49番地の2,35.0445302,135.7583399,OK,
3,東部文化会館,東部文化会館,椥辻西浦町1番地の8,34.9763537,135.814013,OK,
4,右京ふれあい文化会館,右京ふれあい文化会館,太秦安井西裏町11番地の6,35.0167847,135.7173865,OK,
5,西文化会館ウエスティ,西文化会館ウエスティ,上桂森下町31番地の1,34.9849461,135.6941623,OK,
6,呉竹文化センター,呉竹文化センター,京町南七丁目35番地の1,34.938073,135.7645014,OK,
7,,パセオダイゴロー 西館,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
8,醍醐中央図書館,,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
9,醍醐中央児童館,,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
10,醍醐交流会館,,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
11,醍醐駐車場,,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
12,醍醐地域体育館,,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
13,醍醐老人デイサービスセンター,,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
14,醍醐老人福祉センター,,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
15,シルバー人材センター（東部支部事務所）,,醍醐高畑町30番地の1,34.9511106,135.8107724,OK,
16,,久世ふれあいセンター,久世築山町328番地,34.9578541,135.724731,OK,
17,久世ふれあいセンター図書館,,久世築山町328番地,34.9578541,135.724731,OK,
18,久世ふれあいセンター,,久世築山町328番地,34.9578541,135.724731,OK,
19,久世老人デイサービスセンター,,久世築山町328番地,34.9578541,135.724731,OK,
20,久世特別養護老人ホーム,,久世築山町328番地,34.9578541,135.724731,OK,
21,久世地域包括支援センター,,久世築山町328番地,34.9578541,135.724731,OK,
22,京都コンサートホール,京都コンサートホール,下鴨半木町1番地の26,35.0499587,135.7667078,OK,
23,円山公園音楽堂,円山公園音楽堂 奏楽堂,円山町 円山公園内,35.0035587,135.7805269,OK,
24,円山公園音楽堂,円山公園音楽堂 便所,円山町 円山公園内,35.0035587,135.7805269,OK,
25,京都芸術センター,京都芸術センター,室町通蛸薬師下る山伏山町546番2,35.0053026,135.7585356,OK,
26,京都芸術センター,元明倫幼稚園,室町通蛸薬師下る山伏山町山553,35.0055868,135.75817,OK,
27,矢代多目的ホール,矢代多目的ホール,京北矢代中町馬場谷道ノ上29-1ほか,35.181535,135.6003246,OK,
28,国際交流会館,国際交流会館 別館,粟田口鳥居町2番地の1,35.0106866,135.7875028,OK,
29,国際交流会館,国際交流会館 本館,粟田口鳥居町2番地の1,35.0106866,135.7875028,OK,
30,大学のまち交流センター,大学のまち交流センター,西洞院通塩小路下る東塩小路町939番地,34.9863884,135.7557349,OK,
31,,ひと・まち交流館　京都,西木屋町通上ノ口上る梅湊町83番地の1,34.9931917,135.7651265,OK,
32,景観・まちづくりセンター,,西木屋町通上ノ口上る梅湊町83番地の1,34.9931917,135.7651265,OK,
33,市民活動総合センター,,西木屋町通上ノ口上る梅湊町83番地の1,34.9931917,135.7651265,OK,
34,福祉ボランティアセンター,,西木屋町通上ノ口上る梅湊町83番地の1,34.9931917,135.7651265,OK,
35,長寿すこやかセンター,,西木屋町通上ノ口上る梅湊町83番地の1,34.9931917,135.7651265,OK,
36,菊浜老人短期入所施設,,西木屋町通上ノ口上る梅湊町83番地の1,34.9931917,135.7651265,OK,
37,,北いきいき市民活動センター 本館,紫野北花ノ坊町18番地,35.0417781,135.7373524,OK,
38,楽只保育所,,紫野北花ノ坊町18番地,35.0417781,135.7373524,OK,
39,北いきいき市民活動センター,,紫野北花ノ坊町18番地,35.0417781,135.7373524,OK,
40,岡崎いきいき市民活動センター,岡崎いきいき市民活動センター 本館,岡崎最勝寺町2番地,35.013766,135.7791351,OK,
41,岡崎いきいき市民活動センター,岡崎いきいき市民活動センター 分室,岡崎最勝寺町1番地の2,35.0144291,135.7790929,OK,
42,左京東部いきいき市民活動センター,左京東部いきいき市民活動センター 本館,鹿ケ谷高岸町3番地の2,35.0157719,135.7930535,OK,
43,左京東部いきいき市民活動センター,左京東部いきいき市民活動センター 旧館,鹿ケ谷高岸町3番地の2,35.0157719,135.7930535,OK,
44,左京東部いきいき市民活動センター,左京東部いきいき市民活動センター 高齢者ふれあいサロン,鹿ケ谷高岸町3番地の2,35.0157719,135.7930535,OK,
45,,左京西部いきいき市民活動センター 本館,田中玄京町149番地,35.0324119,135.776352,OK,
46,養正保育所,,田中玄京町149番地,35.0324119,135.776352,OK,
47,左京西部いきいき市民活動センター,,田中玄京町149番地,35.0324119,135.776352,OK,
48,左京西部いきいき市民活動センター,左京西部いきいき市民活動センター 高齢者ふれあいサロン,田中馬場町20番地,35.0325106,135.7759894,OK,
49,中京いきいき市民活動センター,中京いきいき市民活動センター,西ノ京新建町12番地の34,35.0095262,135.7328601,OK,
50,東山いきいき市民活動センター,東山いきいき市民活動センター 高齢者ふれあいサロン,三条通大橋東入2丁目下る巽町442番地の9,35.0079063,135.7769115,OK,
51,,東山いきいき市民活動センター 本館,三条通大橋東入2丁目下る巽町442番地の9,35.0079063,135.7769115,OK,
52,三条学童保育所,,三条通大橋東入2丁目下る巽町442番地の9,35.0079063,135.7769115,OK,
53,東山いきいき市民活動センター,,三条通大橋東入2丁目下る巽町442番地の9,35.0079063,135.7769115,OK,
